Lat,Lon,dayofweek,hour
40.7689,-73.9821,3,0
40.7294,-74.0025,3,22
40.7244,-74.0029,3,19
40.753,-73.989,3,13
40.6836,-73.9867,3,18
40.7753,-73.9456,3,17
40.761,-73.9755,3,11
40.7261,-73.9923,3,7
40.7599,-73.9799,3,17
40.7422,-74.0046,3,16
40.7523,-73.968,3,22
40.7433,-74.0032,3,6
40.8022,-73.9423,3,4
40.7552,-73.9847,3,18
40.7209,-74.0042,3,13
40.7499,-73.9837,3,21
40.7257,-74.0056,3,18
40.7324,-73.9962,3,9
40.7736,-73.9518,3,20
40.7505,-73.974,3,15
40.7437,-73.9877,3,16
40.7588,-73.9818,3,21
40.7447,-73.9856,3,17
40.7486,-73.9959,3,9
40.7352,-73.983,3,11
40.7227,-73.9831,3,20
40.7832,-73.9827,3,6
40.7709,-73.9594,3,14
40.7928,-73.9649,3,7
40.7216,-73.9966,3,16
40.7406,-73.9915,3,13
40.6675,-73.9618,3,23
40.7581,-73.9711,3,15
40.6806,-73.9839,3,11
40.7059,-74.0106,3,12
40.7577,-73.9735,3,14
40.8522,-73.9416,3,3
40.7107,-73.9661,3,4
40.7154,-73.9908,3,7
40.7198,-73.9971,3,20
40.7388,-73.9946,3,23
40.7321,-74.0037,3,21
40.7466,-73.9899,3,20
40.7244,-73.9907,3,7
40.7435,-73.9811,3,7
40.7052,-74.0084,3,16
40.7195,-73.9876,3,8
40.7397,-73.9464,3,17
40.775,-73.9774,3,5
40.7716,-73.9676,3,18
40.7434,-73.9732,3,20
40.7231,-74.0025,3,12
40.7211,-73.9879,3,19
40.7241,-73.9989,3,17
40.7484,-74.0053,3,10
40.7748,-73.991,3,8
40.7435,-74.0074,3,5
40.7605,-73.9915,3,5
40.7768,-73.9617,3,15
40.7415,-73.9862,3,10
40.7498,-73.9692,3,18
40.7513,-74.0033,3,21
40.7657,-73.9836,3,7
40.6446,-73.7824,3,21
40.7516,-73.9934,3,15
40.7219,-73.9858,3,10
40.7645,-73.9817,3,15
40.6324,-73.9938,3,23
40.7406,-74.0058,3,18
40.6458,-73.7767,3,7
40.7334,-74.0046,3,11
40.7409,-73.9078,3,8
40.7594,-73.9779,3,15
40.7201,-73.9896,3,12
40.7707,-73.9662,3,14
40.771,-73.9515,3,18
