type,text,text_clean,target
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...,ham",jurong point crazy available bugis n great world la e buffet cine amore watham,0
ham,"Ok lar... Joking wif u oni...,ham",ok lar joke wif u oniham,0
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam",free entry 2 wkly comp win fa cup final tkts 21st 2005 text fa 87121 receive entry questionstd txt ratetc apply 08452810075over18'sspam,1
ham,"U dun say so early hor... U c already then say...,ham",u dun early hor u c sayham,0
ham,"Nah I don't think he goes to usf, he lives around here though,ham",nah think usf live thoughham,0
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv,spam",freemsg hey darle 3 week word like fun tb ok xxx std chgs send å150 rcvspam,1
ham,"Even my brother is not like to speak with me. They treat me like aids patent.,ham",brother like speak treat like aids patentham,0
ham,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham",request ' melle melle oru minnaminunginte nurungu vettam ' set callertune caller press 9 copy friend callertuneham,0
spam,"WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam",winner value network customer select receivea å900 prize reward claim 09061701461 claim code kl341 valid 12 hour onlyspam,1
spam,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam",mobile 11 month u r entitle update late colour mobile camera free mobile update co free 08002986030spam,1
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.,ham",home soon want talk stuff anymore tonight k cry todayham,0
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info,spam",chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 infospam,1
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18,spam",urgent win 1 week free membership å100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18spam,1
ham,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham",search right word thank breather promise help grant fulfil promise wonderful blessing timesham,0
ham,"I HAVE A DATE ON SUNDAY WITH WILL!!,ham",date sunday willham,0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL,spam",xxxmobilemovieclub use credit click wap link txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcblspam,1
ham,"Oh k...i'm watching here:),ham",oh ki'm watching hereham,0
ham,"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham",eh u remember 2 spell yes v naughty v wetham,0
ham,"Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,ham",fine thatåõs way u feel thatåõs way gota bham,0
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+,spam",england v macedonia   miss goalsteam news txt ur national team 87077 eg england 87077 trywale scotland 4txtì¼120 poboxox36504w45wq 16spam,1
ham,"Is that seriously how you spell his name?,ham",seriously spell nameham,0
ham,"IÛ÷m going to try for 2 months ha ha only joking,ham",iûm try 2 month ha ha jokingham,0
ham,"So Ì_ pay first lar... Then when is da stock comin...,ham",ì pay lar da stock cominham,0
ham,"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham",aft finish lunch str lor ard 3 smth lor u finish ur lunch alreadyham,0
ham,"Ffffffffff. Alright no way I can meet up with you sooner?,ham",ffffffffff alright way meet soonerham,0
ham,"Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,ham",force eat slice hungry tho suck mark worried know sick turn pizza lolham,0
ham,"Lol your always so convincing.,ham",lol convincingham,0
ham,"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham",catch bus   fry egg   tea eat mom leave dinner   feel love ham,0
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room,ham",amp pack car let know roomham,0
ham,"Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham",ahhh work vaguely remember feel like lolham,0
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us,ham",wait clear sure sarcastic x want live usham,0
ham,"Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham",yeah 2 v apologetic n fall actin like spoilt child catch till 2 badly cheer ham,0
ham,"K tell me anything about you.,ham",k tell youham,0
ham,"For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham",fear faint housework quick cuppaham,0
spam,"Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam",thank subscription ringtone uk mobile charge å5month confirm reply yes reply chargedspam,1
ham,"Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham",yup ok home look timing msg ì xuhui learn 2nd lesson 8amham,0
ham,"Oops, I'll let you know when my roommate's done,ham",oop let know roommate doneham,0
ham,"I see the letter B on my car,ham",letter b carham,0
ham,"Anything lor... U decide...,ham",lor u decideham,0
ham,"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham",hello saturday texte decide tomo try invite anythingham,0
ham,"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham",pls ahead watts want sure great weekend abiolaham,0
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy,ham",forget tell   want   need crave     love sweet arabian steed   mmmmmm   yummyham,0
spam,"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam",07732584351   rodger burn   msg   try reply sm free nokia mobile   free camcorder 08000930705 delivery tomorrowspam,1
ham,"WHO ARE YOU SEEING?,ham",seeingham,0
ham,"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham",great hope like man endow   ltgt   inchesham,0
ham,"No calls..messages..missed calls,ham",callsmessagesmisse callsham,0
ham,"Didn't you get hep b immunisation in nigeria.,ham",hep b immunisation nigeriaham,0
ham,"Fair enough, anything going on?,ham",fair onham,0
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit,ham",yeah hopefully tyler maybe ask bitham,0
ham,"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham",u know stubborn want hospital tell mark weak sucker hospital weak suckersham,0
ham,"What you thinked about me. First time you saw me in class.,ham",think time classham,0
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;,ham",gram usually run like   ltgt   half eighth smart second gram   ltgtham,0
ham,"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham",k fyi x ride early tomorrow morning crash place tonightham,0
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."",ham",wow realize embarassed accomodation think like good happy cave sorry sorry offer sorry room embarassingham,0
spam,"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam",sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptvspam,1
