type,text,target,text_clean,text_encoded
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...,ham",0,jurong point crazy available bugis n great world la e buffet cine amore watham,"[1, 262, 451, 535, 1, 29, 46, 205, 1, 75, 1, 989, 1, 504]"
ham,"Ok lar... Joking wif u oni...,ham",0,ok lar joke wif u oniham,"[16, 263, 620, 272, 2, 1]"
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam",1,free entry 2 wkly comp win fa cup final tkts 21st 2005 text fa 87121 receive entry questionstd txt ratetc apply 08452810075over18'sspam,"[12, 281, 3, 536, 730, 26, 1, 886, 422, 1, 1, 1, 17, 1, 1, 150, 281, 1, 23, 1, 334, 1]"
ham,"U dun say so early hor... U c already then say...,ham",0,u dun early hor u c sayham,"[2, 123, 173, 1, 2, 78, 1]"
ham,"Nah I don't think he goes to usf, he lives around here though,ham",0,nah think usf live thoughham,"[731, 20, 732, 133, 887]"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv,spam",1,freemsg hey darle 3 week word like fun tb ok xxx std chgs send å150 rcvspam,"[621, 47, 1, 97, 37, 135, 13, 282, 1, 16, 888, 803, 1, 9, 347, 1]"
ham,"Even my brother is not like to speak with me. They treat me like aids patent.,ham",0,brother like speak treat like aids patentham,"[405, 13, 160, 475, 13, 1, 1]"
ham,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham",0,request ' melle melle oru minnaminunginte nurungu vettam ' set callertune caller press 9 copy friend callertuneham,"[733, 88, 1, 1, 1, 1, 1, 1, 88, 367, 1, 423, 734, 283, 804, 57, 1]"
spam,"WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam",1,winner value network customer select receivea å900 prize reward claim 09061701461 claim code kl341 valid 12 hour onlyspam,"[505, 452, 232, 120, 264, 1, 990, 67, 735, 42, 1, 42, 253, 1, 335, 537, 182, 424]"
spam,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam",1,mobile 11 month u r entitle update late colour mobile camera free mobile update co free 08002986030spam,"[27, 991, 190, 2, 24, 889, 318, 65, 348, 27, 206, 12, 27, 318, 992, 12, 1]"
